id,genre,track_name,artist_name,valence,energy
1mMe0felnLtY2QjR7VcgrA,alt-rock,Do Or Die,Thirty Seconds To Mars,0.432,0.825
698gaSKWFh8iSD60U2DtNT,alt-rock,Lady Your Roof Brings Me Down,Scott Weiland,0.181,0.505
4ryq4K6ZKg7MGptYlL7ES2,alt-rock,Jokerman,Various Artists,0.465,0.876
3z5ggGtcs4t8pizW521gW9,alt-rock,Pretend We're Dead,L7,0.911,0.789
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884
3I9ShIr2hAM9MjEdjBC0Eu,alt-rock,Wrapped In Blue,The Coral,0.571,0.61
32uXfxJERzv4RK1gMLXbOA,alt-rock,Sink to the Bottom,Fountains Of Wayne,0.809,0.71
65tH2GPMFCt8JtM2PM3MiX,alt-rock,Morning,Beck,0.261,0.377
3D0RaT6xbV9uS7MWLGtlu1,alt-rock,Put Some Sugar On It,Various Artists,0.368,0.821
2dO66EZj2q67wzTm7UoznP,alt-rock,Waiting,Dismemberment Plan,0.834,0.881
77EwrXeCpbMMlWHqhdeFxJ,alt-rock,I Will Dare,The Replacements,0.551,0.932
6qWCceDp8iXrTu8vkKDdHD,alt-rock,Will You Come Back My Love,Various Artists,0.82,0.412
4VQcmzxaGAJRHufuiLxCAe,alt-rock,Add It Up,Violent Femmes,0.649,0.763
7yeRIVhrBQLKN1qDhNBcJM,alt-rock,Let England Shake,PJ Harvey,0.139,0.566
2JjbpuHG9MtaqyAXfZkLxG,alt-rock,Oh,Sleater-Kinney,0.548,0.947
6uhwUETYlW4FUF8ZU7PEMD,alt-rock,Bleed Out,Blue October,0.203,0.803
4wyeS76EzVbHBasyjURIQw,alt-rock,The Sunset,The Thermals,0.4,0.947
1YWzpaelAbdO2YecUjIx8X,alt-rock,You Closed The Door,The Coral,0.542,0.579
2HvZX5MAsV0R9eArKzPlt0,alt-rock,Short Skirt / Long Jacket,Various Artists,0.875,0.901
78CA8f1v6YNddjyXzizA7h,alt-rock,"It's Alright, It's OK",Primal Scream,0.546,0.973
0zkeldXjpt1at56SVnbChF,alt-rock,I Stand Alone,Godsmack,0.353,0.914
11iaeGffiaRESiUg1A5Dra,alt-rock,Graffiti On The Train,Stereophonics,0.0689,0.554
0W7AbEauB7cP4pidLclApe,alt-rock,Hunger Strike,Temple Of The Dog,0.298,0.567
7zIHMdEBTHlk6OFSNvfLAa,alt-rock,Psycho,Puddle Of Mudd,0.575,0.907
22b8heZ3eqjtXEAafnxFM5,alt-rock,Stone,Alice In Chains,0.543,0.879
3MWdMCAIFPzcIUdiEi8Pao,alt-rock,Marquee Moon - Remastered,Television,0.737,0.657
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
1G8g2LoR09NtrG4y8NQcJL,alt-rock,Ashes to Ashes,Faith No More,0.358,0.866
7rbCL7W893Zonbfnevku5s,alt-rock,I Need My Girl,The National,0.106,0.438
0nNVR2iDM3eVzEgMi78vQm,alt-rock,Let Me Go,3 Doors Down,0.491,0.863
25AhbOlZhMKvz7673O88cI,alt-rock,Looking For Space,Various Artists,0.658,0.459
1fvGs20dhb5eyiAurPO75y,alt-rock,Push And Shove,No Doubt,0.513,0.897
6vdQ2npv78yOkUgOeCPtuT,alt-rock,Like Somebody,Guano Apes,0.189,0.955
14UsoWbAPICOlScAO7upXt,alt-rock,Waiting All Night,Phish,0.625,0.823
4RRPkJgFcmB4AVyVxN2zrb,alt-rock,Amy aka Spent Gladiator 1,The Mountain Goats,0.832,0.834
625QR3rZtbYlpKm2JisGab,alt-rock,Hedonism (Just Because You Feel Good),Skunk Anansie,0.312,0.536
0ttHpMs250dpFkCYAnuhnE,alt-rock,Good,Better Than Ezra,0.792,0.657
6JqmArpMrkb125GqWsBAPg,alt-rock,Central,John Frusciante,0.149,0.575
0jWYqV3YgQ5PjqeZ7qCoOB,alt-rock,If I Were Me,Sound City - Real to Reel,0.361,0.461
0tQ2LOgku0adqOUeQqSAMC,alt-rock,Do You Realize??,The Flaming Lips,0.563,0.837
0uwwLcGldxdRigN0csPc3N,alt-rock,Alex Chilton,The Replacements,0.762,0.96
51m0PrZokFZNk5b5xptyzC,alt-rock,Cannonball,The Breeders,0.765,0.685
2VSbEXqs6NbNiZSTcHlIDR,alt-rock,My Sacrifice,Creed,0.257,0.88
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.494
0jcqJ7xIUuirEbQFlhvOLm,alt-rock,Plowed,Various Artists,0.21,0.908
51UtgWS4z1eMPuLQOzPtNH,alt-rock,Amber,311,0.748,0.727
3JN8Emy2XVWWIuk7jJIWCR,alt-rock,She Walks,Poster Children,0.344,0.543
4v1ETu9iDDUZzNzRgM3hcR,alt-rock,Now It's On,Grandaddy,0.375,0.596
2PqVUGI3qsPXXCmmXND93L,alt-rock,Being Beige,The Smashing Pumpkins,0.471,0.768
1RcuH4tHokXAtrkK6OrT7B,alt-rock,The Missing,Deerhunter,0.514,0.826
4KoNBTm9a55KgLMtEaf3n6,alt-rock,If You Could Only See,Tonic,0.578,0.946
0rSSzTSx8TpBMtw8xqfto5,alt-rock,My Favourite Dress,The Wedding Present,0.657,0.876
1uIsJdRjJ1G2GEWZFjtpKq,alt-rock,Hold On Hope,Guided By Voices,0.164,0.504
1sjrDQXqAa9V07FjKIlAQ4,alt-rock,Hemorrhage (In My Hands),Fuel,0.372,0.823
1BYOCen8xzUBYr5C6SYhuF,alt-rock,The Doomsday Book,...And You Will Know Us by the Trail of Dead,0.442,0.869
3y9zMGuxWS8xkpOxNPfiMZ,alt-rock,Miss You Love,Silverchair,0.148,0.464
1OFvNaRHw4QkUzWf1aZw1V,alt-rock,Scooby Snacks,Fun Lovin' Criminals,0.336,0.563
